EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
30,27,,1406,11,2023,22,9,14,1406,1,1,320,320,2,1,97,921,2023
20,18,,1710,2,2023,16,1,17,1710,1,1,320,320,9,9,97,921,2023
25,20,,802,9,2023,31,8,8,802,1,1,320,320,2,9,32,75,2023
22,29,,512,1,2023,7,1,5,512,4,4,320,320,4,4,97,97,2023
25,20,,1401,8,2023,16,3,14,1401,1,1,320,320,1,9,97,52,2023
37,51,,101,3,2023,18,3,1,101,4,4,320,320,1,1,75,921,2023
24,22,,801,2,2023,8,1,8,801,9,1,320,320,4,4,43,97,2023
28,26,,406,2,2023,22,2,4,406,4,1,320,320,2,2,97,91,2023
23,18,,311,5,2023,22,4,3,311,1,1,320,320,2,9,97,921,2023
24,24,,806,7,2023,6,5,9,901,4,9,320,320,9,4,97,26,2023
38,28,,513,2,2023,16,2,5,513,4,1,320,320,2,2,97,52,2023
27,26,,110,8,2023,5,3,4,403,1,1,320,320,2,2,97,52,2023
32,30,,1617,7,2023,28,7,16,1613,4,1,320,320,3,2,97,921,2023
20,19,,1219,11,2023,28,10,12,1219,4,4,320,320,9,9,97,72,2023
24,29,,1406,3,2023,19,3,14,1406,1,1,320,320,4,5,97,97,2023
31,34,,614,5,2023,20,5,6,614,4,4,320,320,3,4,41,97,2023
18,18,,1905,1,2023,4,1,19,1905,4,9,320,320,9,9,99,33,2023
29,19,,1326,4,2023,14,4,13,1326,1,1,320,320,2,9,97,921,2023
23,23,,806,12,2023,11,11,8,806,1,1,320,320,2,4,97,52,2023
23,19,,1206,7,2023,3,6,12,1206,1,1,320,320,2,9,97,921,2023
45,27,,1801,3,2023,14,2,18,1801,4,4,320,320,9,9,97,52,2023
32,26,,1406,3,2023,24,2,14,1406,1,1,320,320,2,2,97,921,2023
22,21,,1705,8,2023,22,7,17,1705,4,4,320,320,4,9,97,97,2023
30,21,,1608,4,2023,29,3,16,1608,1,1,320,320,1,9,97,97,2023
27,25,,1710,8,2023,27,7,17,1710,1,1,320,320,4,4,97,97,2023
20,19,,1616,3,2023,21,2,16,1616,1,1,320,320,9,9,97,97,2023
21,20,,115,8,2023,29,7,1,115,4,4,320,320,9,9,97,97,2023
45,43,,1403,1,2023,13,1,14,1412,1,1,320,320,2,1,97,921,2023
44,49,,101,4,2023,16,3,1,108,4,4,320,320,2,2,97,71,2023
30,25,,101,1,2023,16,12,1,101,4,4,320,320,6,4,97,52,2023
